date,state,fips,cases,deaths
2021-11-12,Florida,12,3668077,60697
2021-11-12,Georgia,13,1612676,28782
2021-11-12,Guam,66,19832,259
2021-11-12,Hawaii,15,82836,973
2021-11-12,Idaho,16,298764,3709
2021-11-12,Illinois,17,1740923,28986
2021-11-12,Indiana,18,1053167,17088
2021-11-12,Iowa,19,500474,7166
2021-11-12,Kansas,20,448688,6644
2021-11-12,Kentucky,21,765091,10322
2021-11-12,Louisiana,22,764354,14685
2021-11-12,Maine,23,110346,1220
2021-11-12,Maryland,24,570055,11030
2021-11-12,Massachusetts,25,873281,19159
2021-11-12,Michigan,26,1344352,24284
2021-11-12,Minnesota,27,841749,9120
2021-11-12,Mississippi,28,508469,10187
2021-11-12,Missouri,29,887074,13063
2021-11-12,Montana,30,184595,2481
2021-11-12,Nebraska,31,295244,3044
2021-11-12,Nevada,32,459878,7808
2021-11-12,New Hampshire,33,144626,1622
2021-11-12,New Jersey,34,1215067,28152
2021-11-12,New Mexico,35,292078,5171
2021-11-12,New York,36,2615549,56439
2021-11-12,North Carolina,37,1503936,18431
2021-11-12,North Dakota,38,154487,1840
2021-11-12,Northern Mariana Islands,69,343,3
2021-11-12,Ohio,39,1596171,25643
2021-11-12,Oklahoma,40,652731,10879
2021-11-12,Oregon,41,378174,4750
2021-11-12,Pennsylvania,42,1618870,32279
2021-11-12,Puerto Rico,72,219806,3256
2021-11-12,Rhode Island,44,183257,2890
2021-11-12,South Carolina,45,906945,13983
2021-11-12,South Dakota,46,159343,2281
2021-11-12,Tennessee,47,1265579,16529
2021-11-12,Texas,48,4272527,73014
2021-11-12,Utah,49,571628,3347
2021-11-12,Vermont,50,44030,393
2021-11-12,Virgin Islands,78,7329,84
2021-11-12,Virginia,51,942837,14321
2021-11-12,Washington,53,752746,8979
2021-11-12,West Virginia,54,281865,4610
2021-11-12,Wisconsin,55,921389,9679
2021-11-12,Wyoming,56,107483,1298
2021-11-13,Alabama,1,839436,15981
